event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN1993J,49076.00,10.8000,,,B,,,"1995A&AS..110..513B,SUSPECT"
SN1993J,49076.00,10.7500,,,V,,,"1995A&AS..110..513B,SUSPECT"
SN1993J,49076.2,10.71,,,I,,,"1996AJ....112..732R,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1993J,49076.2,10.65,,,R,,,"1996AJ....112..732R,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1993J,49076.2,10.69,,,V,,,"1996AJ....112..732R,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1993J,49076.89,10.77,,,B,,,"1994AJ....107.1022R,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1993J,49076.89,10.78,,,B,,,"1994supe.conf...27L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1993J,49076.89,10.51,,,I,,,"1994AJ....107.1022R,1994supe.conf...27L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1993J,49076.89,10.6,,,R,,,"1994AJ....107.1022R,1994supe.conf...27L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1993J,49076.89,9.91,,,U,,,"1994supe.conf...27L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1993J,49076.89,9.95,,,U,,,"1994AJ....107.1022R,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1993J,49076.89,10.7,,,V,,,"1994AJ....107.1022R,1994supe.conf...27L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1993J,49077.0,10.8,,,B,,,"1995A&AS..110..513B,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1993J,49077.0,10.75,,,V,,,"1995A&AS..110..513B,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1993J,49077.06,10.85,,,B,,,"1994AJ....107.1022R,1994supe.conf...27L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1993J,49077.06,10.55,,,I,,,"1994AJ....107.1022R,1994supe.conf...27L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1993J,49077.06,10.64,,,R,,,"1994AJ....107.1022R,1994supe.conf...27L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1993J,49077.06,9.98,,,U,,,"1994supe.conf...27L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1993J,49077.06,10.02,,,U,,,"1994AJ....107.1022R,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1993J,49077.06,10.76,,,V,,,"1994AJ....107.1022R,1994supe.conf...27L,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1993J,49077.1,10.6,,,I,,,"1994AJ....107.1453B,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1993J,49077.1,10.64,,,R,,,"1994AJ....107.1453B,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1993J,49077.16,10.9,,,B,,,"1994AJ....107.1453B,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
SN1993J,49077.16,10.59,,,I,,,"1994AJ....107.1453B,Sternberg Astronomical Institute Supernova Light Curve Catalogue"
