event,time,magnitude,e_magnitude,upperlimit,band,instrument,telescope,source
SN2016gkg,54588.4738,19.951,,T,U,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,54589.3770,20.624,,T,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,54772.6087,19.895,,T,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,54772.6104,19.635,,T,U,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,54772.6114,20.025,,T,B,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,54772.6130,20.384,,T,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,54772.6163,19.014,,T,V,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,54772.6173,20.017,,T,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,54796.3656,20.053,,T,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,54796.3663,19.789,,T,U,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,54796.3667,20.159,,T,B,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,54796.3674,20.543,,T,UVW2,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,54796.3687,19.150,,T,V,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,54796.3691,20.211,,T,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,55163.4405,20.082,,T,UVW1,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,55166.6960,20.329,,T,UVM2,UVOT,Swift,2014Ap&SS.354...89B
SN2016gkg,57584.465,21.5,,T,G,Astrometric,Gaia,Transient Name Server
SN2016gkg,57651.165,17.360,,T,V,,ASAS-SN,2016arXiv161106451A
SN2016gkg,57651.19085648,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19115741,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19143519,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19172454,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19200231,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19229167,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19256944,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.1928588,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19314815,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19351852,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19387731,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19416667,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19445602,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19474537,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.1950463,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19534722,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19563657,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19592593,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19621528,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19649306,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19678241,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19693184,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19734954,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19769676,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19798611,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19827546,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19856481,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19884259,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19913194,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.1994213,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.19987269,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.20018519,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.20049768,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.20121528,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.20171296,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.20200231,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.20228009,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.20256944,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.2028588,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.20313657,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.20342593,19.4,,T,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.23376157,18.95,0.39,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.2341088,19.55,0.36,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.23439815,18.95,0.19,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.23452949,19.11,0.13,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
SN2016gkg,57651.2346875,18.77,0.26,F,V,ZWO ASI1600 MM-C,406-mm Skywatcher Newtonian,2018Natur.554..497B
