  phase   passband   delta    dm15       mag  
  -15.0       desr   -0.40   +0.83   -17.466  
  -14.0       desr   -0.40   +0.83   -17.828  
  -13.0       desr   -0.40   +0.83   -18.178  
  -12.0       desr   -0.40   +0.83   -18.497  
  -11.0       desr   -0.40   +0.83   -18.733  
  -10.0       desr   -0.40   +0.83   -18.951  
   -9.0       desr   -0.40   +0.83   -19.164  
   -8.0       desr   -0.40   +0.83   -19.370  
   -7.0       desr   -0.40   +0.83   -19.513  
   -6.0       desr   -0.40   +0.83   -19.635  
   -5.0       desr   -0.40   +0.83   -19.724  
   -4.0       desr   -0.40   +0.83   -19.798  
   -3.0       desr   -0.40   +0.83   -19.842  
   -2.0       desr   -0.40   +0.83   -19.871  
   -1.0       desr   -0.40   +0.83   -19.882  
    0.0       desr   -0.40   +0.83   -19.890  
    1.0       desr   -0.40   +0.83   -19.884  
    2.0       desr   -0.40   +0.83   -19.868  
    3.0       desr   -0.40   +0.83   -19.837  
    4.0       desr   -0.40   +0.83   -19.807  
    5.0       desr   -0.40   +0.83   -19.771  
    6.0       desr   -0.40   +0.83   -19.729  
    7.0       desr   -0.40   +0.83   -19.679  
    8.0       desr   -0.40   +0.83   -19.622  
    9.0       desr   -0.40   +0.83   -19.548  
   10.0       desr   -0.40   +0.83   -19.459  
   11.0       desr   -0.40   +0.83   -19.370  
   12.0       desr   -0.40   +0.83   -19.294  
   13.0       desr   -0.40   +0.83   -19.225  
   14.0       desr   -0.40   +0.83   -19.153  
   15.0       desr   -0.40   +0.83   -19.064  
   16.0       desr   -0.40   +0.83   -18.968  
   17.0       desr   -0.40   +0.83   -18.860  
   18.0       desr   -0.40   +0.83   -18.750  
   19.0       desr   -0.40   +0.83   -18.643  
   20.0       desr   -0.40   +0.83   -18.542  
   21.0       desr   -0.40   +0.83   -18.453  
   22.0       desr   -0.40   +0.83   -18.370  
   23.0       desr   -0.40   +0.83   -18.286  
   24.0       desr   -0.40   +0.83   -18.194  
   25.0       desr   -0.40   +0.83   -18.103  
   26.0       desr   -0.40   +0.83   -18.017  
   27.0       desr   -0.40   +0.83   -17.945  
   28.0       desr   -0.40   +0.83   -17.875  
   29.0       desr   -0.40   +0.83   -17.809  
   30.0       desr   -0.40   +0.83   -17.741  
   31.0       desr   -0.40   +0.83   -17.674  
   32.0       desr   -0.40   +0.83   -17.609  
   33.0       desr   -0.40   +0.83   -17.554  
   34.0       desr   -0.40   +0.83   -17.503  
   35.0       desr   -0.40   +0.83   -17.459  
   36.0       desr   -0.40   +0.83   -17.414  
   37.0       desr   -0.40   +0.83   -17.368  
   38.0       desr   -0.40   +0.83   -17.318  
   39.0       desr   -0.40   +0.83   -17.266  
   40.0       desr   -0.40   +0.83   -17.217  
   41.0       desr   -0.40   +0.83   -17.176  
   42.0       desr   -0.40   +0.83   -17.140  
   43.0       desr   -0.40   +0.83   -17.110  
   44.0       desr   -0.40   +0.83   -17.083  
   45.0       desr   -0.40   +0.83   -17.063  
   46.0       desr   -0.40   +0.83   -17.048  
   47.0       desr   -0.40   +0.83   -17.040  
   48.0       desr   -0.40   +0.83   -17.034  
   49.0       desr   -0.40   +0.83   -17.027  
   50.0       desr   -0.40   +0.83   -17.020  
   51.0       desr   -0.40   +0.83   -17.010  
   52.0       desr   -0.40   +0.83   -16.996  
   53.0       desr   -0.40   +0.83   -16.979  
   54.0       desr   -0.40   +0.83   -16.957  
   55.0       desr   -0.40   +0.83   -16.932  
   56.0       desr   -0.40   +0.83   -16.903  
   57.0       desr   -0.40   +0.83   -16.872  
   58.0       desr   -0.40   +0.83   -16.841  
   59.0       desr   -0.40   +0.83   -16.811  
   60.0       desr   -0.40   +0.83   -16.785  
   61.0       desr   -0.40   +0.83   -16.761  
   62.0       desr   -0.40   +0.83   -16.741  
   63.0       desr   -0.40   +0.83   -16.722  
   64.0       desr   -0.40   +0.83   -16.706  
   65.0       desr   -0.40   +0.83   -16.691  
   66.0       desr   -0.40   +0.83   -16.677  
   67.0       desr   -0.40   +0.83   -16.665  
   68.0       desr   -0.40   +0.83   -16.656  
   69.0       desr   -0.40   +0.83   -16.647  
   70.0       desr   -0.40   +0.83   -16.640  
   71.0       desr   -0.40   +0.83   -16.634  
   72.0       desr   -0.40   +0.83   -16.627  
   73.0       desr   -0.40   +0.83   -16.619  
   74.0       desr   -0.40   +0.83   -16.609  
   75.0       desr   -0.40   +0.83   -16.597  
   76.0       desr   -0.40   +0.83   -16.584  
   77.0       desr   -0.40   +0.83   -16.571  
   78.0       desr   -0.40   +0.83   -16.557  
   79.0       desr   -0.40   +0.83   -16.544  
   80.0       desr   -0.40   +0.83   -16.531  
  -15.0       desr   -0.38   +0.84   -17.457  
  -14.0       desr   -0.38   +0.84   -17.818  
  -13.0       desr   -0.38   +0.84   -18.165  
  -12.0       desr   -0.38   +0.84   -18.482  
  -11.0       desr   -0.38   +0.84   -18.717  
  -10.0       desr   -0.38   +0.84   -18.933  
   -9.0       desr   -0.38   +0.84   -19.146  
   -8.0       desr   -0.38   +0.84   -19.353  
   -7.0       desr   -0.38   +0.84   -19.495  
   -6.0       desr   -0.38   +0.84   -19.618  
   -5.0       desr   -0.38   +0.84   -19.708  
   -4.0       desr   -0.38   +0.84   -19.782  
   -3.0       desr   -0.38   +0.84   -19.827  
   -2.0       desr   -0.38   +0.84   -19.858  
   -1.0       desr   -0.38   +0.84   -19.869  
    0.0       desr   -0.38   +0.84   -19.877  
    1.0       desr   -0.38   +0.84   -19.870  
    2.0       desr   -0.38   +0.84   -19.854  
    3.0       desr   -0.38   +0.84   -19.823  
    4.0       desr   -0.38   +0.84   -19.793  
    5.0       desr   -0.38   +0.84   -19.755  
    6.0       desr   -0.38   +0.84   -19.712  
    7.0       desr   -0.38   +0.84   -19.661  
    8.0       desr   -0.38   +0.84   -19.604  
    9.0       desr   -0.38   +0.84   -19.528  
   10.0       desr   -0.38   +0.84   -19.439  
   11.0       desr   -0.38   +0.84   -19.349  
   12.0       desr   -0.38   +0.84   -19.272  
   13.0       desr   -0.38   +0.84   -19.202  
   14.0       desr   -0.38   +0.84   -19.129  
   15.0       desr   -0.38   +0.84   -19.039  
   16.0       desr   -0.38   +0.84   -18.941  
   17.0       desr   -0.38   +0.84   -18.832  
   18.0       desr   -0.38   +0.84   -18.721  
   19.0       desr   -0.38   +0.84   -18.612  
   20.0       desr   -0.38   +0.84   -18.509  
   21.0       desr   -0.38   +0.84   -18.419  
   22.0       desr   -0.38   +0.84   -18.334  
   23.0       desr   -0.38   +0.84   -18.249  
   24.0       desr   -0.38   +0.84   -18.156  
   25.0       desr   -0.38   +0.84   -18.064  
   26.0       desr   -0.38   +0.84   -17.977  
   27.0       desr   -0.38   +0.84   -17.905  
   28.0       desr   -0.38   +0.84   -17.835  
   29.0       desr   -0.38   +0.84   -17.769  
   30.0       desr   -0.38   +0.84   -17.701  
   31.0       desr   -0.38   +0.84   -17.634  
   32.0       desr   -0.38   +0.84   -17.570  
   33.0       desr   -0.38   +0.84   -17.514  
   34.0       desr   -0.38   +0.84   -17.465  
   35.0       desr   -0.38   +0.84   -17.421  
   36.0       desr   -0.38   +0.84   -17.376  
   37.0       desr   -0.38   +0.84   -17.331  
   38.0       desr   -0.38   +0.84   -17.281  
   39.0       desr   -0.38   +0.84   -17.230  
   40.0       desr   -0.38   +0.84   -17.182  
   41.0       desr   -0.38   +0.84   -17.141  
   42.0       desr   -0.38   +0.84   -17.105  
   43.0       desr   -0.38   +0.84   -17.075  
   44.0       desr   -0.38   +0.84   -17.049  
   45.0       desr   -0.38   +0.84   -17.028  
   46.0       desr   -0.38   +0.84   -17.013  
   47.0       desr   -0.38   +0.84   -17.005  
   48.0       desr   -0.38   +0.84   -16.998  
   49.0       desr   -0.38   +0.84   -16.991  
   50.0       desr   -0.38   +0.84   -16.983  
   51.0       desr   -0.38   +0.84   -16.973  
   52.0       desr   -0.38   +0.84   -16.959  
   53.0       desr   -0.38   +0.84   -16.942  
   54.0       desr   -0.38   +0.84   -16.920  
   55.0       desr   -0.38   +0.84   -16.895  
   56.0       desr   -0.38   +0.84   -16.866  
   57.0       desr   -0.38   +0.84   -16.835  
   58.0       desr   -0.38   +0.84   -16.805  
   59.0       desr   -0.38   +0.84   -16.776  
   60.0       desr   -0.38   +0.84   -16.750  
   61.0       desr   -0.38   +0.84   -16.727  
   62.0       desr   -0.38   +0.84   -16.707  
   63.0       desr   -0.38   +0.84   -16.689  
   64.0       desr   -0.38   +0.84   -16.673  
   65.0       desr   -0.38   +0.84   -16.658  
   66.0       desr   -0.38   +0.84   -16.644  
   67.0       desr   -0.38   +0.84   -16.633  
   68.0       desr   -0.38   +0.84   -16.623  
   69.0       desr   -0.38   +0.84   -16.615  
   70.0       desr   -0.38   +0.84   -16.608  
   71.0       desr   -0.38   +0.84   -16.601  
   72.0       desr   -0.38   +0.84   -16.594  
   73.0       desr   -0.38   +0.84   -16.586  
   74.0       desr   -0.38   +0.84   -16.576  
   75.0       desr   -0.38   +0.84   -16.564  
   76.0       desr   -0.38   +0.84   -16.551  
   77.0       desr   -0.38   +0.84   -16.538  
   78.0       desr   -0.38   +0.84   -16.524  
   79.0       desr   -0.38   +0.84   -16.511  
   80.0       desr   -0.38   +0.84   -16.498  
  -15.0       desr   -0.36   +0.85   -17.447  
  -14.0       desr   -0.36   +0.85   -17.807  
  -13.0       desr   -0.36   +0.85   -18.153  
  -12.0       desr   -0.36   +0.85   -18.467  
  -11.0       desr   -0.36   +0.85   -18.700  
  -10.0       desr   -0.36   +0.85   -18.915  
   -9.0       desr   -0.36   +0.85   -19.128  
   -8.0       desr   -0.36   +0.85   -19.335  
   -7.0       desr   -0.36   +0.85   -19.478  
   -6.0       desr   -0.36   +0.85   -19.601  
   -5.0       desr   -0.36   +0.85   -19.692  
   -4.0       desr   -0.36   +0.85   -19.767  
   -3.0       desr   -0.36   +0.85   -19.813  
   -2.0       desr   -0.36   +0.85   -19.844  
   -1.0       desr   -0.36   +0.85   -19.856  
    0.0       desr   -0.36   +0.85   -19.864  
    1.0       desr   -0.36   +0.85   -19.858  
    2.0       desr   -0.36   +0.85   -19.841  
    3.0       desr   -0.36   +0.85   -19.810  
    4.0       desr   -0.36   +0.85   -19.778  
    5.0       desr   -0.36   +0.85   -19.739  
    6.0       desr   -0.36   +0.85   -19.696  
    7.0       desr   -0.36   +0.85   -19.643  
    8.0       desr   -0.36   +0.85   -19.585  
    9.0       desr   -0.36   +0.85   -19.508  
   10.0       desr   -0.36   +0.85   -19.418  
   11.0       desr   -0.36   +0.85   -19.327  
   12.0       desr   -0.36   +0.85   -19.250  
   13.0       desr   -0.36   +0.85   -19.180  
   14.0       desr   -0.36   +0.85   -19.105  
   15.0       desr   -0.36   +0.85   -19.014  
   16.0       desr   -0.36   +0.85   -18.915  
   17.0       desr   -0.36   +0.85   -18.803  
   18.0       desr   -0.36   +0.85   -18.691  
   19.0       desr   -0.36   +0.85   -18.581  
   20.0       desr   -0.36   +0.85   -18.476  
   21.0       desr   -0.36   +0.85   -18.384  
   22.0       desr   -0.36   +0.85   -18.298  
   23.0       desr   -0.36   +0.85   -18.212  
   24.0       desr   -0.36   +0.85   -18.118  
   25.0       desr   -0.36   +0.85   -18.025  
   26.0       desr   -0.36   +0.85   -17.938  
   27.0       desr   -0.36   +0.85   -17.864  
   28.0       desr   -0.36   +0.85   -17.794  
   29.0       desr   -0.36   +0.85   -17.729  
   30.0       desr   -0.36   +0.85   -17.660  
   31.0       desr   -0.36   +0.85   -17.594  
   32.0       desr   -0.36   +0.85   -17.530  
   33.0       desr   -0.36   +0.85   -17.475  
   34.0       desr   -0.36   +0.85   -17.426  
   35.0       desr   -0.36   +0.85   -17.383  
   36.0       desr   -0.36   +0.85   -17.339  
   37.0       desr   -0.36   +0.85   -17.294  
   38.0       desr   -0.36   +0.85   -17.245  
   39.0       desr   -0.36   +0.85   -17.194  
   40.0       desr   -0.36   +0.85   -17.147  
   41.0       desr   -0.36   +0.85   -17.106  
   42.0       desr   -0.36   +0.85   -17.070  
   43.0       desr   -0.36   +0.85   -17.041  
   44.0       desr   -0.36   +0.85   -17.014  
   45.0       desr   -0.36   +0.85   -16.994  
   46.0       desr   -0.36   +0.85   -16.979  
   47.0       desr   -0.36   +0.85   -16.970  
   48.0       desr   -0.36   +0.85   -16.963  
   49.0       desr   -0.36   +0.85   -16.955  
   50.0       desr   -0.36   +0.85   -16.947  
   51.0       desr   -0.36   +0.85   -16.936  
   52.0       desr   -0.36   +0.85   -16.922  
   53.0       desr   -0.36   +0.85   -16.905  
   54.0       desr   -0.36   +0.85   -16.883  
   55.0       desr   -0.36   +0.85   -16.858  
   56.0       desr   -0.36   +0.85   -16.829  
   57.0       desr   -0.36   +0.85   -16.799  
   58.0       desr   -0.36   +0.85   -16.770  
   59.0       desr   -0.36   +0.85   -16.741  
   60.0       desr   -0.36   +0.85   -16.716  
   61.0       desr   -0.36   +0.85   -16.694  
   62.0       desr   -0.36   +0.85   -16.674  
   63.0       desr   -0.36   +0.85   -16.656  
   64.0       desr   -0.36   +0.85   -16.640  
   65.0       desr   -0.36   +0.85   -16.625  
   66.0       desr   -0.36   +0.85   -16.611  
   67.0       desr   -0.36   +0.85   -16.600  
   68.0       desr   -0.36   +0.85   -16.590  
   69.0       desr   -0.36   +0.85   -16.582  
   70.0       desr   -0.36   +0.85   -16.575  
   71.0       desr   -0.36   +0.85   -16.569  
   72.0       desr   -0.36   +0.85   -16.562  
   73.0       desr   -0.36   +0.85   -16.554  
   74.0       desr   -0.36   +0.85   -16.544  
   75.0       desr   -0.36   +0.85   -16.532  
   76.0       desr   -0.36   +0.85   -16.519  
   77.0       desr   -0.36   +0.85   -16.505  
   78.0       desr   -0.36   +0.85   -16.491  
   79.0       desr   -0.36   +0.85   -16.477  
   80.0       desr   -0.36   +0.85   -16.464  
  -15.0       desr   -0.34   +0.86   -17.436  
  -14.0       desr   -0.34   +0.86   -17.795  
  -13.0       desr   -0.34   +0.86   -18.139  
  -12.0       desr   -0.34   +0.86   -18.451  
  -11.0       desr   -0.34   +0.86   -18.683  
  -10.0       desr   -0.34   +0.86   -18.897  
   -9.0       desr   -0.34   +0.86   -19.109  
   -8.0       desr   -0.34   +0.86   -19.316  
   -7.0       desr   -0.34   +0.86   -19.460  
   -6.0       desr   -0.34   +0.86   -19.584  
   -5.0       desr   -0.34   +0.86   -19.675  
   -4.0       desr   -0.34   +0.86   -19.752  
   -3.0       desr   -0.34   +0.86   -19.798  
   -2.0       desr   -0.34   +0.86   -19.830  
   -1.0       desr   -0.34   +0.86   -19.842  
    0.0       desr   -0.34   +0.86   -19.851  
    1.0       desr   -0.34   +0.86   -19.844  
    2.0       desr   -0.34   +0.86   -19.827  
    3.0       desr   -0.34   +0.86   -19.795  
    4.0       desr   -0.34   +0.86   -19.762  
    5.0       desr   -0.34   +0.86   -19.722  
    6.0       desr   -0.34   +0.86   -19.680  
    7.0       desr   -0.34   +0.86   -19.625  
    8.0       desr   -0.34   +0.86   -19.566  
    9.0       desr   -0.34   +0.86   -19.488  
   10.0       desr   -0.34   +0.86   -19.397  
   11.0       desr   -0.34   +0.86   -19.306  
   12.0       desr   -0.34   +0.86   -19.227  
   13.0       desr   -0.34   +0.86   -19.157  
   14.0       desr   -0.34   +0.86   -19.081  
   15.0       desr   -0.34   +0.86   -18.988  
   16.0       desr   -0.34   +0.86   -18.889  
   17.0       desr   -0.34   +0.86   -18.775  
   18.0       desr   -0.34   +0.86   -18.661  
   19.0       desr   -0.34   +0.86   -18.549  
   20.0       desr   -0.34   +0.86   -18.443  
   21.0       desr   -0.34   +0.86   -18.350  
   22.0       desr   -0.34   +0.86   -18.262  
   23.0       desr   -0.34   +0.86   -18.175  
   24.0       desr   -0.34   +0.86   -18.080  
   25.0       desr   -0.34   +0.86   -17.986  
   26.0       desr   -0.34   +0.86   -17.899  
   27.0       desr   -0.34   +0.86   -17.825  
   28.0       desr   -0.34   +0.86   -17.754  
   29.0       desr   -0.34   +0.86   -17.688  
   30.0       desr   -0.34   +0.86   -17.620  
   31.0       desr   -0.34   +0.86   -17.554  
   32.0       desr   -0.34   +0.86   -17.490  
   33.0       desr   -0.34   +0.86   -17.437  
   34.0       desr   -0.34   +0.86   -17.387  
   35.0       desr   -0.34   +0.86   -17.345  
   36.0       desr   -0.34   +0.86   -17.302  
   37.0       desr   -0.34   +0.86   -17.257  
   38.0       desr   -0.34   +0.86   -17.209  
   39.0       desr   -0.34   +0.86   -17.158  
   40.0       desr   -0.34   +0.86   -17.111  
   41.0       desr   -0.34   +0.86   -17.071  
   42.0       desr   -0.34   +0.86   -17.036  
   43.0       desr   -0.34   +0.86   -17.006  
   44.0       desr   -0.34   +0.86   -16.979  
   45.0       desr   -0.34   +0.86   -16.959  
   46.0       desr   -0.34   +0.86   -16.944  
   47.0       desr   -0.34   +0.86   -16.935  
   48.0       desr   -0.34   +0.86   -16.927  
   49.0       desr   -0.34   +0.86   -16.920  
   50.0       desr   -0.34   +0.86   -16.911  
   51.0       desr   -0.34   +0.86   -16.900  
   52.0       desr   -0.34   +0.86   -16.886  
   53.0       desr   -0.34   +0.86   -16.868  
   54.0       desr   -0.34   +0.86   -16.846  
   55.0       desr   -0.34   +0.86   -16.821  
   56.0       desr   -0.34   +0.86   -16.793  
   57.0       desr   -0.34   +0.86   -16.764  
   58.0       desr   -0.34   +0.86   -16.734  
   59.0       desr   -0.34   +0.86   -16.707  
   60.0       desr   -0.34   +0.86   -16.682  
   61.0       desr   -0.34   +0.86   -16.660  
   62.0       desr   -0.34   +0.86   -16.640  
   63.0       desr   -0.34   +0.86   -16.623  
   64.0       desr   -0.34   +0.86   -16.607  
   65.0       desr   -0.34   +0.86   -16.592  
   66.0       desr   -0.34   +0.86   -16.579  
   67.0       desr   -0.34   +0.86   -16.567  
   68.0       desr   -0.34   +0.86   -16.557  
   69.0       desr   -0.34   +0.86   -16.549  
   70.0       desr   -0.34   +0.86   -16.543  
   71.0       desr   -0.34   +0.86   -16.536  
   72.0       desr   -0.34   +0.86   -16.529  
   73.0       desr   -0.34   +0.86   -16.521  
   74.0       desr   -0.34   +0.86   -16.511  
   75.0       desr   -0.34   +0.86   -16.499  
   76.0       desr   -0.34   +0.86   -16.486  
   77.0       desr   -0.34   +0.86   -16.472  
   78.0       desr   -0.34   +0.86   -16.458  
   79.0       desr   -0.34   +0.86   -16.444  
   80.0       desr   -0.34   +0.86   -16.430  
  -15.0       desr   -0.32   +0.87   -17.424  
  -14.0       desr   -0.32   +0.87   -17.782  
  -13.0       desr   -0.32   +0.87   -18.125  
  -12.0       desr   -0.32   +0.87   -18.435  
  -11.0       desr   -0.32   +0.87   -18.665  
  -10.0       desr   -0.32   +0.87   -18.879  
   -9.0       desr   -0.32   +0.87   -19.090  
   -8.0       desr   -0.32   +0.87   -19.298  
   -7.0       desr   -0.32   +0.87   -19.442  
   -6.0       desr   -0.32   +0.87   -19.567  
   -5.0       desr   -0.32   +0.87   -19.659  
   -4.0       desr   -0.32   +0.87   -19.736  
   -3.0       desr   -0.32   +0.87   -19.783  
   -2.0       desr   -0.32   +0.87   -19.815  
   -1.0       desr   -0.32   +0.87   -19.828  
    0.0       desr   -0.32   +0.87   -19.837  
    1.0       desr   -0.32   +0.87   -19.830  
    2.0       desr   -0.32   +0.87   -19.813  
    3.0       desr   -0.32   +0.87   -19.780  
    4.0       desr   -0.32   +0.87   -19.747  
    5.0       desr   -0.32   +0.87   -19.706  
    6.0       desr   -0.32   +0.87   -19.662  
    7.0       desr   -0.32   +0.87   -19.606  
    8.0       desr   -0.32   +0.87   -19.546  
    9.0       desr   -0.32   +0.87   -19.468  
   10.0       desr   -0.32   +0.87   -19.376  
   11.0       desr   -0.32   +0.87   -19.284  
   12.0       desr   -0.32   +0.87   -19.204  
   13.0       desr   -0.32   +0.87   -19.133  
   14.0       desr   -0.32   +0.87   -19.056  
   15.0       desr   -0.32   +0.87   -18.963  
