  phase   passband   delta    dm15       mag  
  -15.0       desr   -0.40   +0.83   -17.364  
  -14.0       desr   -0.40   +0.83   -17.717  
  -13.0       desr   -0.40   +0.83   -18.081  
  -12.0       desr   -0.40   +0.83   -18.412  
  -11.0       desr   -0.40   +0.83   -18.674  
  -10.0       desr   -0.40   +0.83   -18.910  
   -9.0       desr   -0.40   +0.83   -19.131  
   -8.0       desr   -0.40   +0.83   -19.322  
   -7.0       desr   -0.40   +0.83   -19.451  
   -6.0       desr   -0.40   +0.83   -19.581  
   -5.0       desr   -0.40   +0.83   -19.686  
   -4.0       desr   -0.40   +0.83   -19.762  
   -3.0       desr   -0.40   +0.83   -19.794  
   -2.0       desr   -0.40   +0.83   -19.819  
   -1.0       desr   -0.40   +0.83   -19.833  
    0.0       desr   -0.40   +0.83   -19.846  
    1.0       desr   -0.40   +0.83   -19.846  
    2.0       desr   -0.40   +0.83   -19.835  
    3.0       desr   -0.40   +0.83   -19.811  
    4.0       desr   -0.40   +0.83   -19.791  
    5.0       desr   -0.40   +0.83   -19.766  
    6.0       desr   -0.40   +0.83   -19.736  
    7.0       desr   -0.40   +0.83   -19.695  
    8.0       desr   -0.40   +0.83   -19.650  
    9.0       desr   -0.40   +0.83   -19.593  
   10.0       desr   -0.40   +0.83   -19.520  
   11.0       desr   -0.40   +0.83   -19.444  
   12.0       desr   -0.40   +0.83   -19.384  
   13.0       desr   -0.40   +0.83   -19.344  
   14.0       desr   -0.40   +0.83   -19.306  
   15.0       desr   -0.40   +0.83   -19.250  
   16.0       desr   -0.40   +0.83   -19.186  
   17.0       desr   -0.40   +0.83   -19.113  
   18.0       desr   -0.40   +0.83   -19.037  
   19.0       desr   -0.40   +0.83   -18.959  
   20.0       desr   -0.40   +0.83   -18.880  
   21.0       desr   -0.40   +0.83   -18.804  
   22.0       desr   -0.40   +0.83   -18.731  
   23.0       desr   -0.40   +0.83   -18.655  
   24.0       desr   -0.40   +0.83   -18.586  
   25.0       desr   -0.40   +0.83   -18.511  
   26.0       desr   -0.40   +0.83   -18.440  
   27.0       desr   -0.40   +0.83   -18.375  
   28.0       desr   -0.40   +0.83   -18.311  
   29.0       desr   -0.40   +0.83   -18.246  
   30.0       desr   -0.40   +0.83   -18.178  
   31.0       desr   -0.40   +0.83   -18.108  
   32.0       desr   -0.40   +0.83   -18.045  
   33.0       desr   -0.40   +0.83   -17.988  
   34.0       desr   -0.40   +0.83   -17.936  
   35.0       desr   -0.40   +0.83   -17.891  
   36.0       desr   -0.40   +0.83   -17.837  
   37.0       desr   -0.40   +0.83   -17.782  
   38.0       desr   -0.40   +0.83   -17.725  
   39.0       desr   -0.40   +0.83   -17.667  
   40.0       desr   -0.40   +0.83   -17.621  
   41.0       desr   -0.40   +0.83   -17.584  
   42.0       desr   -0.40   +0.83   -17.550  
   43.0       desr   -0.40   +0.83   -17.521  
   44.0       desr   -0.40   +0.83   -17.493  
   45.0       desr   -0.40   +0.83   -17.468  
   46.0       desr   -0.40   +0.83   -17.442  
   47.0       desr   -0.40   +0.83   -17.421  
   48.0       desr   -0.40   +0.83   -17.402  
   49.0       desr   -0.40   +0.83   -17.385  
   50.0       desr   -0.40   +0.83   -17.369  
   51.0       desr   -0.40   +0.83   -17.351  
   52.0       desr   -0.40   +0.83   -17.330  
   53.0       desr   -0.40   +0.83   -17.304  
   54.0       desr   -0.40   +0.83   -17.273  
   55.0       desr   -0.40   +0.83   -17.242  
   56.0       desr   -0.40   +0.83   -17.213  
   57.0       desr   -0.40   +0.83   -17.185  
   58.0       desr   -0.40   +0.83   -17.158  
   59.0       desr   -0.40   +0.83   -17.133  
   60.0       desr   -0.40   +0.83   -17.111  
   61.0       desr   -0.40   +0.83   -17.090  
   62.0       desr   -0.40   +0.83   -17.073  
   63.0       desr   -0.40   +0.83   -17.057  
   64.0       desr   -0.40   +0.83   -17.041  
   65.0       desr   -0.40   +0.83   -17.026  
   66.0       desr   -0.40   +0.83   -17.012  
   67.0       desr   -0.40   +0.83   -17.000  
   68.0       desr   -0.40   +0.83   -16.989  
   69.0       desr   -0.40   +0.83   -16.981  
   70.0       desr   -0.40   +0.83   -16.974  
   71.0       desr   -0.40   +0.83   -16.967  
   72.0       desr   -0.40   +0.83   -16.961  
   73.0       desr   -0.40   +0.83   -16.954  
   74.0       desr   -0.40   +0.83   -16.946  
   75.0       desr   -0.40   +0.83   -16.934  
   76.0       desr   -0.40   +0.83   -16.920  
   77.0       desr   -0.40   +0.83   -16.906  
   78.0       desr   -0.40   +0.83   -16.893  
   79.0       desr   -0.40   +0.83   -16.881  
   80.0       desr   -0.40   +0.83   -16.869  
  -15.0       desr   -0.38   +0.84   -17.357  
  -14.0       desr   -0.38   +0.84   -17.710  
  -13.0       desr   -0.38   +0.84   -18.071  
  -12.0       desr   -0.38   +0.84   -18.399  
  -11.0       desr   -0.38   +0.84   -18.659  
  -10.0       desr   -0.38   +0.84   -18.893  
   -9.0       desr   -0.38   +0.84   -19.113  
   -8.0       desr   -0.38   +0.84   -19.305  
   -7.0       desr   -0.38   +0.84   -19.434  
   -6.0       desr   -0.38   +0.84   -19.565  
   -5.0       desr   -0.38   +0.84   -19.671  
   -4.0       desr   -0.38   +0.84   -19.747  
   -3.0       desr   -0.38   +0.84   -19.779  
   -2.0       desr   -0.38   +0.84   -19.806  
   -1.0       desr   -0.38   +0.84   -19.820  
    0.0       desr   -0.38   +0.84   -19.833  
    1.0       desr   -0.38   +0.84   -19.833  
    2.0       desr   -0.38   +0.84   -19.822  
    3.0       desr   -0.38   +0.84   -19.797  
    4.0       desr   -0.38   +0.84   -19.777  
    5.0       desr   -0.38   +0.84   -19.751  
    6.0       desr   -0.38   +0.84   -19.720  
    7.0       desr   -0.38   +0.84   -19.678  
    8.0       desr   -0.38   +0.84   -19.632  
    9.0       desr   -0.38   +0.84   -19.575  
   10.0       desr   -0.38   +0.84   -19.502  
   11.0       desr   -0.38   +0.84   -19.425  
   12.0       desr   -0.38   +0.84   -19.365  
   13.0       desr   -0.38   +0.84   -19.324  
   14.0       desr   -0.38   +0.84   -19.285  
   15.0       desr   -0.38   +0.84   -19.229  
   16.0       desr   -0.38   +0.84   -19.163  
   17.0       desr   -0.38   +0.84   -19.090  
   18.0       desr   -0.38   +0.84   -19.012  
   19.0       desr   -0.38   +0.84   -18.933  
   20.0       desr   -0.38   +0.84   -18.853  
   21.0       desr   -0.38   +0.84   -18.775  
   22.0       desr   -0.38   +0.84   -18.701  
   23.0       desr   -0.38   +0.84   -18.624  
   24.0       desr   -0.38   +0.84   -18.553  
   25.0       desr   -0.38   +0.84   -18.477  
   26.0       desr   -0.38   +0.84   -18.405  
   27.0       desr   -0.38   +0.84   -18.339  
   28.0       desr   -0.38   +0.84   -18.275  
   29.0       desr   -0.38   +0.84   -18.210  
   30.0       desr   -0.38   +0.84   -18.141  
   31.0       desr   -0.38   +0.84   -18.071  
   32.0       desr   -0.38   +0.84   -18.008  
   33.0       desr   -0.38   +0.84   -17.951  
   34.0       desr   -0.38   +0.84   -17.899  
   35.0       desr   -0.38   +0.84   -17.854  
   36.0       desr   -0.38   +0.84   -17.801  
   37.0       desr   -0.38   +0.84   -17.746  
   38.0       desr   -0.38   +0.84   -17.690  
   39.0       desr   -0.38   +0.84   -17.631  
   40.0       desr   -0.38   +0.84   -17.586  
   41.0       desr   -0.38   +0.84   -17.549  
   42.0       desr   -0.38   +0.84   -17.515  
   43.0       desr   -0.38   +0.84   -17.486  
   44.0       desr   -0.38   +0.84   -17.458  
   45.0       desr   -0.38   +0.84   -17.434  
   46.0       desr   -0.38   +0.84   -17.407  
   47.0       desr   -0.38   +0.84   -17.387  
   48.0       desr   -0.38   +0.84   -17.367  
   49.0       desr   -0.38   +0.84   -17.350  
   50.0       desr   -0.38   +0.84   -17.334  
   51.0       desr   -0.38   +0.84   -17.317  
   52.0       desr   -0.38   +0.84   -17.295  
   53.0       desr   -0.38   +0.84   -17.270  
   54.0       desr   -0.38   +0.84   -17.239  
   55.0       desr   -0.38   +0.84   -17.208  
   56.0       desr   -0.38   +0.84   -17.178  
   57.0       desr   -0.38   +0.84   -17.151  
   58.0       desr   -0.38   +0.84   -17.125  
   59.0       desr   -0.38   +0.84   -17.100  
   60.0       desr   -0.38   +0.84   -17.078  
   61.0       desr   -0.38   +0.84   -17.058  
   62.0       desr   -0.38   +0.84   -17.041  
   63.0       desr   -0.38   +0.84   -17.025  
   64.0       desr   -0.38   +0.84   -17.009  
   65.0       desr   -0.38   +0.84   -16.995  
   66.0       desr   -0.38   +0.84   -16.981  
   67.0       desr   -0.38   +0.84   -16.968  
   68.0       desr   -0.38   +0.84   -16.958  
   69.0       desr   -0.38   +0.84   -16.949  
   70.0       desr   -0.38   +0.84   -16.942  
   71.0       desr   -0.38   +0.84   -16.936  
   72.0       desr   -0.38   +0.84   -16.930  
   73.0       desr   -0.38   +0.84   -16.923  
   74.0       desr   -0.38   +0.84   -16.915  
   75.0       desr   -0.38   +0.84   -16.902  
   76.0       desr   -0.38   +0.84   -16.889  
   77.0       desr   -0.38   +0.84   -16.875  
   78.0       desr   -0.38   +0.84   -16.861  
   79.0       desr   -0.38   +0.84   -16.848  
   80.0       desr   -0.38   +0.84   -16.837  
  -15.0       desr   -0.36   +0.85   -17.349  
  -14.0       desr   -0.36   +0.85   -17.701  
  -13.0       desr   -0.36   +0.85   -18.061  
  -12.0       desr   -0.36   +0.85   -18.387  
  -11.0       desr   -0.36   +0.85   -18.643  
  -10.0       desr   -0.36   +0.85   -18.876  
   -9.0       desr   -0.36   +0.85   -19.095  
   -8.0       desr   -0.36   +0.85   -19.287  
   -7.0       desr   -0.36   +0.85   -19.417  
   -6.0       desr   -0.36   +0.85   -19.548  
   -5.0       desr   -0.36   +0.85   -19.655  
   -4.0       desr   -0.36   +0.85   -19.732  
   -3.0       desr   -0.36   +0.85   -19.765  
   -2.0       desr   -0.36   +0.85   -19.792  
   -1.0       desr   -0.36   +0.85   -19.806  
    0.0       desr   -0.36   +0.85   -19.820  
    1.0       desr   -0.36   +0.85   -19.819  
    2.0       desr   -0.36   +0.85   -19.808  
    3.0       desr   -0.36   +0.85   -19.783  
    4.0       desr   -0.36   +0.85   -19.762  
    5.0       desr   -0.36   +0.85   -19.735  
    6.0       desr   -0.36   +0.85   -19.704  
    7.0       desr   -0.36   +0.85   -19.661  
    8.0       desr   -0.36   +0.85   -19.615  
    9.0       desr   -0.36   +0.85   -19.556  
   10.0       desr   -0.36   +0.85   -19.483  
   11.0       desr   -0.36   +0.85   -19.405  
   12.0       desr   -0.36   +0.85   -19.345  
   13.0       desr   -0.36   +0.85   -19.304  
   14.0       desr   -0.36   +0.85   -19.264  
   15.0       desr   -0.36   +0.85   -19.208  
   16.0       desr   -0.36   +0.85   -19.141  
   17.0       desr   -0.36   +0.85   -19.066  
   18.0       desr   -0.36   +0.85   -18.987  
   19.0       desr   -0.36   +0.85   -18.906  
   20.0       desr   -0.36   +0.85   -18.825  
   21.0       desr   -0.36   +0.85   -18.745  
   22.0       desr   -0.36   +0.85   -18.670  
   23.0       desr   -0.36   +0.85   -18.592  
   24.0       desr   -0.36   +0.85   -18.520  
   25.0       desr   -0.36   +0.85   -18.443  
   26.0       desr   -0.36   +0.85   -18.370  
   27.0       desr   -0.36   +0.85   -18.304  
   28.0       desr   -0.36   +0.85   -18.238  
   29.0       desr   -0.36   +0.85   -18.173  
   30.0       desr   -0.36   +0.85   -18.104  
   31.0       desr   -0.36   +0.85   -18.034  
   32.0       desr   -0.36   +0.85   -17.971  
   33.0       desr   -0.36   +0.85   -17.915  
   34.0       desr   -0.36   +0.85   -17.863  
   35.0       desr   -0.36   +0.85   -17.818  
   36.0       desr   -0.36   +0.85   -17.766  
   37.0       desr   -0.36   +0.85   -17.710  
   38.0       desr   -0.36   +0.85   -17.654  
   39.0       desr   -0.36   +0.85   -17.596  
   40.0       desr   -0.36   +0.85   -17.550  
   41.0       desr   -0.36   +0.85   -17.514  
   42.0       desr   -0.36   +0.85   -17.480  
   43.0       desr   -0.36   +0.85   -17.451  
   44.0       desr   -0.36   +0.85   -17.423  
   45.0       desr   -0.36   +0.85   -17.399  
   46.0       desr   -0.36   +0.85   -17.373  
   47.0       desr   -0.36   +0.85   -17.352  
   48.0       desr   -0.36   +0.85   -17.333  
   49.0       desr   -0.36   +0.85   -17.316  
   50.0       desr   -0.36   +0.85   -17.300  
   51.0       desr   -0.36   +0.85   -17.282  
   52.0       desr   -0.36   +0.85   -17.261  
   53.0       desr   -0.36   +0.85   -17.235  
   54.0       desr   -0.36   +0.85   -17.204  
   55.0       desr   -0.36   +0.85   -17.173  
   56.0       desr   -0.36   +0.85   -17.144  
   57.0       desr   -0.36   +0.85   -17.117  
   58.0       desr   -0.36   +0.85   -17.091  
   59.0       desr   -0.36   +0.85   -17.067  
   60.0       desr   -0.36   +0.85   -17.046  
   61.0       desr   -0.36   +0.85   -17.025  
   62.0       desr   -0.36   +0.85   -17.009  
   63.0       desr   -0.36   +0.85   -16.993  
   64.0       desr   -0.36   +0.85   -16.978  
   65.0       desr   -0.36   +0.85   -16.963  
   66.0       desr   -0.36   +0.85   -16.949  
   67.0       desr   -0.36   +0.85   -16.937  
   68.0       desr   -0.36   +0.85   -16.927  
   69.0       desr   -0.36   +0.85   -16.918  
   70.0       desr   -0.36   +0.85   -16.911  
   71.0       desr   -0.36   +0.85   -16.905  
   72.0       desr   -0.36   +0.85   -16.898  
   73.0       desr   -0.36   +0.85   -16.892  
   74.0       desr   -0.36   +0.85   -16.884  
   75.0       desr   -0.36   +0.85   -16.871  
   76.0       desr   -0.36   +0.85   -16.857  
   77.0       desr   -0.36   +0.85   -16.843  
   78.0       desr   -0.36   +0.85   -16.829  
   79.0       desr   -0.36   +0.85   -16.816  
   80.0       desr   -0.36   +0.85   -16.804  
  -15.0       desr   -0.34   +0.86   -17.340  
  -14.0       desr   -0.34   +0.86   -17.692  
  -13.0       desr   -0.34   +0.86   -18.051  
  -12.0       desr   -0.34   +0.86   -18.373  
  -11.0       desr   -0.34   +0.86   -18.627  
  -10.0       desr   -0.34   +0.86   -18.858  
   -9.0       desr   -0.34   +0.86   -19.076  
   -8.0       desr   -0.34   +0.86   -19.269  
   -7.0       desr   -0.34   +0.86   -19.399  
   -6.0       desr   -0.34   +0.86   -19.531  
   -5.0       desr   -0.34   +0.86   -19.639  
   -4.0       desr   -0.34   +0.86   -19.717  
   -3.0       desr   -0.34   +0.86   -19.750  
   -2.0       desr   -0.34   +0.86   -19.778  
