  phase   passband   delta    dm15       mag  
  -15.0       desr   -0.40   +0.83   -16.509  
  -14.0       desr   -0.40   +0.83   -16.815  
  -13.0       desr   -0.40   +0.83   -17.127  
  -12.0       desr   -0.40   +0.83   -17.446  
  -11.0       desr   -0.40   +0.83   -17.735  
  -10.0       desr   -0.40   +0.83   -18.015  
   -9.0       desr   -0.40   +0.83   -18.297  
   -8.0       desr   -0.40   +0.83   -18.561  
   -7.0       desr   -0.40   +0.83   -18.747  
   -6.0       desr   -0.40   +0.83   -18.871  
   -5.0       desr   -0.40   +0.83   -18.948  
   -4.0       desr   -0.40   +0.83   -18.990  
   -3.0       desr   -0.40   +0.83   -19.004  
   -2.0       desr   -0.40   +0.83   -18.988  
   -1.0       desr   -0.40   +0.83   -18.967  
    0.0       desr   -0.40   +0.83   -18.940  
    1.0       desr   -0.40   +0.83   -18.925  
    2.0       desr   -0.40   +0.83   -18.896  
    3.0       desr   -0.40   +0.83   -18.889  
    4.0       desr   -0.40   +0.83   -18.879  
    5.0       desr   -0.40   +0.83   -18.871  
    6.0       desr   -0.40   +0.83   -18.849  
    7.0       desr   -0.40   +0.83   -18.814  
    8.0       desr   -0.40   +0.83   -18.773  
    9.0       desr   -0.40   +0.83   -18.733  
   10.0       desr   -0.40   +0.83   -18.677  
   11.0       desr   -0.40   +0.83   -18.596  
   12.0       desr   -0.40   +0.83   -18.517  
   13.0       desr   -0.40   +0.83   -18.463  
   14.0       desr   -0.40   +0.83   -18.420  
   15.0       desr   -0.40   +0.83   -18.403  
   16.0       desr   -0.40   +0.83   -18.412  
   17.0       desr   -0.40   +0.83   -18.420  
   18.0       desr   -0.40   +0.83   -18.427  
   19.0       desr   -0.40   +0.83   -18.442  
   20.0       desr   -0.40   +0.83   -18.458  
   21.0       desr   -0.40   +0.83   -18.470  
   22.0       desr   -0.40   +0.83   -18.483  
   23.0       desr   -0.40   +0.83   -18.500  
   24.0       desr   -0.40   +0.83   -18.523  
   25.0       desr   -0.40   +0.83   -18.547  
   26.0       desr   -0.40   +0.83   -18.566  
   27.0       desr   -0.40   +0.83   -18.580  
   28.0       desr   -0.40   +0.83   -18.583  
   29.0       desr   -0.40   +0.83   -18.572  
   30.0       desr   -0.40   +0.83   -18.546  
   31.0       desr   -0.40   +0.83   -18.505  
   32.0       desr   -0.40   +0.83   -18.454  
   33.0       desr   -0.40   +0.83   -18.398  
   34.0       desr   -0.40   +0.83   -18.342  
   35.0       desr   -0.40   +0.83   -18.292  
   36.0       desr   -0.40   +0.83   -18.241  
   37.0       desr   -0.40   +0.83   -18.190  
   38.0       desr   -0.40   +0.83   -18.139  
   39.0       desr   -0.40   +0.83   -18.089  
   40.0       desr   -0.40   +0.83   -18.042  
   41.0       desr   -0.40   +0.83   -17.999  
   42.0       desr   -0.40   +0.83   -17.958  
   43.0       desr   -0.40   +0.83   -17.918  
   44.0       desr   -0.40   +0.83   -17.878  
   45.0       desr   -0.40   +0.83   -17.837  
   46.0       desr   -0.40   +0.83   -17.799  
   47.0       desr   -0.40   +0.83   -17.762  
   48.0       desr   -0.40   +0.83   -17.726  
   49.0       desr   -0.40   +0.83   -17.691  
   50.0       desr   -0.40   +0.83   -17.659  
   51.0       desr   -0.40   +0.83   -17.626  
   52.0       desr   -0.40   +0.83   -17.587  
   53.0       desr   -0.40   +0.83   -17.549  
   54.0       desr   -0.40   +0.83   -17.511  
   55.0       desr   -0.40   +0.83   -17.474  
   56.0       desr   -0.40   +0.83   -17.435  
   57.0       desr   -0.40   +0.83   -17.391  
   58.0       desr   -0.40   +0.83   -17.343  
   59.0       desr   -0.40   +0.83   -17.304  
   60.0       desr   -0.40   +0.83   -17.265  
   61.0       desr   -0.40   +0.83   -17.227  
   62.0       desr   -0.40   +0.83   -17.193  
   63.0       desr   -0.40   +0.83   -17.159  
   64.0       desr   -0.40   +0.83   -17.127  
   65.0       desr   -0.40   +0.83   -17.096  
   66.0       desr   -0.40   +0.83   -17.064  
   67.0       desr   -0.40   +0.83   -17.028  
   68.0       desr   -0.40   +0.83   -16.991  
   69.0       desr   -0.40   +0.83   -16.953  
   70.0       desr   -0.40   +0.83   -16.915  
   71.0       desr   -0.40   +0.83   -16.877  
   72.0       desr   -0.40   +0.83   -16.838  
   73.0       desr   -0.40   +0.83   -16.801  
   74.0       desr   -0.40   +0.83   -16.763  
   75.0       desr   -0.40   +0.83   -16.722  
   76.0       desr   -0.40   +0.83   -16.680  
   77.0       desr   -0.40   +0.83   -16.637  
   78.0       desr   -0.40   +0.83   -16.593  
   79.0       desr   -0.40   +0.83   -16.549  
   80.0       desr   -0.40   +0.83   -16.504  
  -15.0       desr   -0.38   +0.84   -16.500  
  -14.0       desr   -0.38   +0.84   -16.808  
  -13.0       desr   -0.38   +0.84   -17.119  
  -12.0       desr   -0.38   +0.84   -17.435  
  -11.0       desr   -0.38   +0.84   -17.722  
  -10.0       desr   -0.38   +0.84   -18.003  
   -9.0       desr   -0.38   +0.84   -18.286  
   -8.0       desr   -0.38   +0.84   -18.550  
   -7.0       desr   -0.38   +0.84   -18.737  
   -6.0       desr   -0.38   +0.84   -18.862  
   -5.0       desr   -0.38   +0.84   -18.940  
   -4.0       desr   -0.38   +0.84   -18.982  
   -3.0       desr   -0.38   +0.84   -18.997  
   -2.0       desr   -0.38   +0.84   -18.982  
   -1.0       desr   -0.38   +0.84   -18.959  
    0.0       desr   -0.38   +0.84   -18.932  
    1.0       desr   -0.38   +0.84   -18.915  
    2.0       desr   -0.38   +0.84   -18.885  
    3.0       desr   -0.38   +0.84   -18.876  
    4.0       desr   -0.38   +0.84   -18.866  
    5.0       desr   -0.38   +0.84   -18.855  
    6.0       desr   -0.38   +0.84   -18.831  
    7.0       desr   -0.38   +0.84   -18.795  
    8.0       desr   -0.38   +0.84   -18.753  
    9.0       desr   -0.38   +0.84   -18.712  
   10.0       desr   -0.38   +0.84   -18.655  
   11.0       desr   -0.38   +0.84   -18.573  
   12.0       desr   -0.38   +0.84   -18.495  
   13.0       desr   -0.38   +0.84   -18.441  
   14.0       desr   -0.38   +0.84   -18.398  
   15.0       desr   -0.38   +0.84   -18.382  
   16.0       desr   -0.38   +0.84   -18.391  
   17.0       desr   -0.38   +0.84   -18.400  
   18.0       desr   -0.38   +0.84   -18.407  
   19.0       desr   -0.38   +0.84   -18.423  
   20.0       desr   -0.38   +0.84   -18.439  
   21.0       desr   -0.38   +0.84   -18.452  
   22.0       desr   -0.38   +0.84   -18.465  
   23.0       desr   -0.38   +0.84   -18.482  
   24.0       desr   -0.38   +0.84   -18.504  
   25.0       desr   -0.38   +0.84   -18.528  
   26.0       desr   -0.38   +0.84   -18.547  
   27.0       desr   -0.38   +0.84   -18.559  
   28.0       desr   -0.38   +0.84   -18.562  
   29.0       desr   -0.38   +0.84   -18.551  
   30.0       desr   -0.38   +0.84   -18.524  
   31.0       desr   -0.38   +0.84   -18.483  
   32.0       desr   -0.38   +0.84   -18.432  
   33.0       desr   -0.38   +0.84   -18.375  
   34.0       desr   -0.38   +0.84   -18.320  
   35.0       desr   -0.38   +0.84   -18.268  
   36.0       desr   -0.38   +0.84   -18.216  
   37.0       desr   -0.38   +0.84   -18.163  
   38.0       desr   -0.38   +0.84   -18.110  
   39.0       desr   -0.38   +0.84   -18.059  
   40.0       desr   -0.38   +0.84   -18.010  
   41.0       desr   -0.38   +0.84   -17.965  
   42.0       desr   -0.38   +0.84   -17.922  
   43.0       desr   -0.38   +0.84   -17.882  
   44.0       desr   -0.38   +0.84   -17.841  
   45.0       desr   -0.38   +0.84   -17.800  
   46.0       desr   -0.38   +0.84   -17.762  
   47.0       desr   -0.38   +0.84   -17.724  
   48.0       desr   -0.38   +0.84   -17.688  
   49.0       desr   -0.38   +0.84   -17.653  
   50.0       desr   -0.38   +0.84   -17.621  
   51.0       desr   -0.38   +0.84   -17.588  
   52.0       desr   -0.38   +0.84   -17.549  
   53.0       desr   -0.38   +0.84   -17.511  
   54.0       desr   -0.38   +0.84   -17.473  
   55.0       desr   -0.38   +0.84   -17.436  
   56.0       desr   -0.38   +0.84   -17.396  
   57.0       desr   -0.38   +0.84   -17.352  
   58.0       desr   -0.38   +0.84   -17.304  
   59.0       desr   -0.38   +0.84   -17.265  
   60.0       desr   -0.38   +0.84   -17.226  
   61.0       desr   -0.38   +0.84   -17.188  
   62.0       desr   -0.38   +0.84   -17.154  
   63.0       desr   -0.38   +0.84   -17.120  
   64.0       desr   -0.38   +0.84   -17.088  
   65.0       desr   -0.38   +0.84   -17.057  
   66.0       desr   -0.38   +0.84   -17.026  
   67.0       desr   -0.38   +0.84   -16.990  
   68.0       desr   -0.38   +0.84   -16.953  
   69.0       desr   -0.38   +0.84   -16.915  
   70.0       desr   -0.38   +0.84   -16.877  
   71.0       desr   -0.38   +0.84   -16.839  
   72.0       desr   -0.38   +0.84   -16.800  
   73.0       desr   -0.38   +0.84   -16.763  
   74.0       desr   -0.38   +0.84   -16.726  
   75.0       desr   -0.38   +0.84   -16.684  
   76.0       desr   -0.38   +0.84   -16.642  
   77.0       desr   -0.38   +0.84   -16.600  
   78.0       desr   -0.38   +0.84   -16.557  
   79.0       desr   -0.38   +0.84   -16.513  
   80.0       desr   -0.38   +0.84   -16.468  
  -15.0       desr   -0.36   +0.85   -16.490  
  -14.0       desr   -0.36   +0.85   -16.800  
  -13.0       desr   -0.36   +0.85   -17.111  
  -12.0       desr   -0.36   +0.85   -17.423  
  -11.0       desr   -0.36   +0.85   -17.709  
  -10.0       desr   -0.36   +0.85   -17.990  
   -9.0       desr   -0.36   +0.85   -18.275  
   -8.0       desr   -0.36   +0.85   -18.540  
   -7.0       desr   -0.36   +0.85   -18.727  
   -6.0       desr   -0.36   +0.85   -18.853  
   -5.0       desr   -0.36   +0.85   -18.932  
   -4.0       desr   -0.36   +0.85   -18.974  
   -3.0       desr   -0.36   +0.85   -18.989  
   -2.0       desr   -0.36   +0.85   -18.975  
   -1.0       desr   -0.36   +0.85   -18.952  
    0.0       desr   -0.36   +0.85   -18.924  
    1.0       desr   -0.36   +0.85   -18.907  
    2.0       desr   -0.36   +0.85   -18.875  
    3.0       desr   -0.36   +0.85   -18.865  
    4.0       desr   -0.36   +0.85   -18.852  
    5.0       desr   -0.36   +0.85   -18.839  
    6.0       desr   -0.36   +0.85   -18.815  
    7.0       desr   -0.36   +0.85   -18.776  
    8.0       desr   -0.36   +0.85   -18.732  
    9.0       desr   -0.36   +0.85   -18.690  
   10.0       desr   -0.36   +0.85   -18.633  
   11.0       desr   -0.36   +0.85   -18.551  
   12.0       desr   -0.36   +0.85   -18.472  
   13.0       desr   -0.36   +0.85   -18.418  
   14.0       desr   -0.36   +0.85   -18.376  
   15.0       desr   -0.36   +0.85   -18.360  
   16.0       desr   -0.36   +0.85   -18.370  
   17.0       desr   -0.36   +0.85   -18.379  
   18.0       desr   -0.36   +0.85   -18.387  
   19.0       desr   -0.36   +0.85   -18.404  
   20.0       desr   -0.36   +0.85   -18.420  
   21.0       desr   -0.36   +0.85   -18.434  
   22.0       desr   -0.36   +0.85   -18.446  
   23.0       desr   -0.36   +0.85   -18.464  
   24.0       desr   -0.36   +0.85   -18.486  
   25.0       desr   -0.36   +0.85   -18.508  
   26.0       desr   -0.36   +0.85   -18.527  
   27.0       desr   -0.36   +0.85   -18.539  
   28.0       desr   -0.36   +0.85   -18.541  
   29.0       desr   -0.36   +0.85   -18.529  
   30.0       desr   -0.36   +0.85   -18.503  
   31.0       desr   -0.36   +0.85   -18.461  
   32.0       desr   -0.36   +0.85   -18.410  
   33.0       desr   -0.36   +0.85   -18.353  
   34.0       desr   -0.36   +0.85   -18.297  
   35.0       desr   -0.36   +0.85   -18.245  
   36.0       desr   -0.36   +0.85   -18.191  
   37.0       desr   -0.36   +0.85   -18.136  
   38.0       desr   -0.36   +0.85   -18.082  
   39.0       desr   -0.36   +0.85   -18.028  
   40.0       desr   -0.36   +0.85   -17.977  
   41.0       desr   -0.36   +0.85   -17.931  
   42.0       desr   -0.36   +0.85   -17.887  
   43.0       desr   -0.36   +0.85   -17.845  
   44.0       desr   -0.36   +0.85   -17.803  
   45.0       desr   -0.36   +0.85   -17.762  
   46.0       desr   -0.36   +0.85   -17.724  
   47.0       desr   -0.36   +0.85   -17.686  
   48.0       desr   -0.36   +0.85   -17.650  
   49.0       desr   -0.36   +0.85   -17.616  
   50.0       desr   -0.36   +0.85   -17.583  
   51.0       desr   -0.36   +0.85   -17.550  
   52.0       desr   -0.36   +0.85   -17.512  
   53.0       desr   -0.36   +0.85   -17.473  
   54.0       desr   -0.36   +0.85   -17.436  
   55.0       desr   -0.36   +0.85   -17.398  
   56.0       desr   -0.36   +0.85   -17.358  
   57.0       desr   -0.36   +0.85   -17.314  
   58.0       desr   -0.36   +0.85   -17.265  
   59.0       desr   -0.36   +0.85   -17.226  
   60.0       desr   -0.36   +0.85   -17.187  
   61.0       desr   -0.36   +0.85   -17.150  
   62.0       desr   -0.36   +0.85   -17.115  
   63.0       desr   -0.36   +0.85   -17.082  
   64.0       desr   -0.36   +0.85   -17.050  
   65.0       desr   -0.36   +0.85   -17.019  
   66.0       desr   -0.36   +0.85   -16.987  
   67.0       desr   -0.36   +0.85   -16.952  
   68.0       desr   -0.36   +0.85   -16.915  
   69.0       desr   -0.36   +0.85   -16.877  
   70.0       desr   -0.36   +0.85   -16.839  
   71.0       desr   -0.36   +0.85   -16.801  
   72.0       desr   -0.36   +0.85   -16.763  
   73.0       desr   -0.36   +0.85   -16.725  
   74.0       desr   -0.36   +0.85   -16.688  
   75.0       desr   -0.36   +0.85   -16.647  
   76.0       desr   -0.36   +0.85   -16.606  
   77.0       desr   -0.36   +0.85   -16.563  
   78.0       desr   -0.36   +0.85   -16.520  
   79.0       desr   -0.36   +0.85   -16.477  
   80.0       desr   -0.36   +0.85   -16.432  
  -15.0       desr   -0.34   +0.86   -16.479  
  -14.0       desr   -0.34   +0.86   -16.791  
  -13.0       desr   -0.34   +0.86   -17.101  
  -12.0       desr   -0.34   +0.86   -17.411  
  -11.0       desr   -0.34   +0.86   -17.696  
  -10.0       desr   -0.34   +0.86   -17.977  
   -9.0       desr   -0.34   +0.86   -18.264  
   -8.0       desr   -0.34   +0.86   -18.529  
   -7.0       desr   -0.34   +0.86   -18.717  
   -6.0       desr   -0.34   +0.86   -18.844  
   -5.0       desr   -0.34   +0.86   -18.923  
   -4.0       desr   -0.34   +0.86   -18.966  
   -3.0       desr   -0.34   +0.86   -18.981  
   -2.0       desr   -0.34   +0.86   -18.967  
   -1.0       desr   -0.34   +0.86   -18.945  
    0.0       desr   -0.34   +0.86   -18.916  
    1.0       desr   -0.34   +0.86   -18.897  
    2.0       desr   -0.34   +0.86   -18.865  
    3.0       desr   -0.34   +0.86   -18.853  
    4.0       desr   -0.34   +0.86   -18.838  
    5.0       desr   -0.34   +0.86   -18.823  
    6.0       desr   -0.34   +0.86   -18.798  
    7.0       desr   -0.34   +0.86   -18.757  
    8.0       desr   -0.34   +0.86   -18.712  
    9.0       desr   -0.34   +0.86   -18.669  
   10.0       desr   -0.34   +0.86   -18.611  
   11.0       desr   -0.34   +0.86   -18.528  
   12.0       desr   -0.34   +0.86   -18.449  
   13.0       desr   -0.34   +0.86   -18.396  
   14.0       desr   -0.34   +0.86   -18.353  
   15.0       desr   -0.34   +0.86   -18.339  
   16.0       desr   -0.34   +0.86   -18.350  
   17.0       desr   -0.34   +0.86   -18.359  
   18.0       desr   -0.34   +0.86   -18.368  
   19.0       desr   -0.34   +0.86   -18.385  
   20.0       desr   -0.34   +0.86   -18.402  
   21.0       desr   -0.34   +0.86   -18.415  
   22.0       desr   -0.34   +0.86   -18.428  
   23.0       desr   -0.34   +0.86   -18.446  
   24.0       desr   -0.34   +0.86   -18.467  
   25.0       desr   -0.34   +0.86   -18.489  
   26.0       desr   -0.34   +0.86   -18.508  
   27.0       desr   -0.34   +0.86   -18.518  
   28.0       desr   -0.34   +0.86   -18.520  
   29.0       desr   -0.34   +0.86   -18.508  
   30.0       desr   -0.34   +0.86   -18.481  
   31.0       desr   -0.34   +0.86   -18.439  
   32.0       desr   -0.34   +0.86   -18.387  
   33.0       desr   -0.34   +0.86   -18.330  
   34.0       desr   -0.34   +0.86   -18.273  
   35.0       desr   -0.34   +0.86   -18.221  
   36.0       desr   -0.34   +0.86   -18.166  
   37.0       desr   -0.34   +0.86   -18.110  
   38.0       desr   -0.34   +0.86   -18.054  
   39.0       desr   -0.34   +0.86   -17.998  
   40.0       desr   -0.34   +0.86   -17.945  
   41.0       desr   -0.34   +0.86   -17.897  
   42.0       desr   -0.34   +0.86   -17.852  
   43.0       desr   -0.34   +0.86   -17.809  
   44.0       desr   -0.34   +0.86   -17.766  
   45.0       desr   -0.34   +0.86   -17.725  
   46.0       desr   -0.34   +0.86   -17.686  
   47.0       desr   -0.34   +0.86   -17.648  
   48.0       desr   -0.34   +0.86   -17.612  
   49.0       desr   -0.34   +0.86   -17.578  
   50.0       desr   -0.34   +0.86   -17.546  
   51.0       desr   -0.34   +0.86   -17.512  
   52.0       desr   -0.34   +0.86   -17.474  
   53.0       desr   -0.34   +0.86   -17.436  
   54.0       desr   -0.34   +0.86   -17.398  
   55.0       desr   -0.34   +0.86   -17.360  
   56.0       desr   -0.34   +0.86   -17.320  
   57.0       desr   -0.34   +0.86   -17.275  
   58.0       desr   -0.34   +0.86   -17.227  
   59.0       desr   -0.34   +0.86   -17.187  
   60.0       desr   -0.34   +0.86   -17.149  
   61.0       desr   -0.34   +0.86   -17.111  
   62.0       desr   -0.34   +0.86   -17.077  
   63.0       desr   -0.34   +0.86   -17.044  
   64.0       desr   -0.34   +0.86   -17.012  
   65.0       desr   -0.34   +0.86   -16.981  
   66.0       desr   -0.34   +0.86   -16.949  
   67.0       desr   -0.34   +0.86   -16.914  
   68.0       desr   -0.34   +0.86   -16.877  
   69.0       desr   -0.34   +0.86   -16.839  
   70.0       desr   -0.34   +0.86   -16.802  
   71.0       desr   -0.34   +0.86   -16.764  
   72.0       desr   -0.34   +0.86   -16.725  
   73.0       desr   -0.34   +0.86   -16.688  
   74.0       desr   -0.34   +0.86   -16.651  
   75.0       desr   -0.34   +0.86   -16.610  
   76.0       desr   -0.34   +0.86   -16.569  
   77.0       desr   -0.34   +0.86   -16.527  
   78.0       desr   -0.34   +0.86   -16.484  
   79.0       desr   -0.34   +0.86   -16.441  
   80.0       desr   -0.34   +0.86   -16.396  
  -15.0       desr   -0.32   +0.88   -16.468  
  -14.0       desr   -0.32   +0.88   -16.782  
  -13.0       desr   -0.32   +0.88   -17.092  
  -12.0       desr   -0.32   +0.88   -17.398  
  -11.0       desr   -0.32   +0.88   -17.682  
  -10.0       desr   -0.32   +0.88   -17.964  
   -9.0       desr   -0.32   +0.88   -18.253  
   -8.0       desr   -0.32   +0.88   -18.518  
   -7.0       desr   -0.32   +0.88   -18.707  
   -6.0       desr   -0.32   +0.88   -18.834  
   -5.0       desr   -0.32   +0.88   -18.914  
   -4.0       desr   -0.32   +0.88   -18.958  
   -3.0       desr   -0.32   +0.88   -18.974  
   -2.0       desr   -0.32   +0.88   -18.959  
   -1.0       desr   -0.32   +0.88   -18.937  
    0.0       desr   -0.32   +0.88   -18.908  
    1.0       desr   -0.32   +0.88   -18.888  
