  phase   passband   delta    dm15       mag  
  -15.0       desr   -0.40   +0.83   -16.747  
  -14.0       desr   -0.40   +0.83   -17.082  
  -13.0       desr   -0.40   +0.83   -17.417  
  -12.0       desr   -0.40   +0.83   -17.749  
  -11.0       desr   -0.40   +0.83   -18.056  
  -10.0       desr   -0.40   +0.83   -18.360  
   -9.0       desr   -0.40   +0.83   -18.677  
   -8.0       desr   -0.40   +0.83   -18.968  
   -7.0       desr   -0.40   +0.83   -19.177  
   -6.0       desr   -0.40   +0.83   -19.302  
   -5.0       desr   -0.40   +0.83   -19.379  
   -4.0       desr   -0.40   +0.83   -19.435  
   -3.0       desr   -0.40   +0.83   -19.477  
   -2.0       desr   -0.40   +0.83   -19.505  
   -1.0       desr   -0.40   +0.83   -19.524  
    0.0       desr   -0.40   +0.83   -19.535  
    1.0       desr   -0.40   +0.83   -19.537  
    2.0       desr   -0.40   +0.83   -19.529  
    3.0       desr   -0.40   +0.83   -19.513  
    4.0       desr   -0.40   +0.83   -19.498  
    5.0       desr   -0.40   +0.83   -19.485  
    6.0       desr   -0.40   +0.83   -19.465  
    7.0       desr   -0.40   +0.83   -19.440  
    8.0       desr   -0.40   +0.83   -19.408  
    9.0       desr   -0.40   +0.83   -19.370  
   10.0       desr   -0.40   +0.83   -19.318  
   11.0       desr   -0.40   +0.83   -19.243  
   12.0       desr   -0.40   +0.83   -19.167  
   13.0       desr   -0.40   +0.83   -19.100  
   14.0       desr   -0.40   +0.83   -19.040  
   15.0       desr   -0.40   +0.83   -18.998  
   16.0       desr   -0.40   +0.83   -18.977  
   17.0       desr   -0.40   +0.83   -18.957  
   18.0       desr   -0.40   +0.83   -18.939  
   19.0       desr   -0.40   +0.83   -18.931  
   20.0       desr   -0.40   +0.83   -18.922  
   21.0       desr   -0.40   +0.83   -18.906  
   22.0       desr   -0.40   +0.83   -18.889  
   23.0       desr   -0.40   +0.83   -18.875  
   24.0       desr   -0.40   +0.83   -18.866  
   25.0       desr   -0.40   +0.83   -18.857  
   26.0       desr   -0.40   +0.83   -18.848  
   27.0       desr   -0.40   +0.83   -18.834  
   28.0       desr   -0.40   +0.83   -18.815  
   29.0       desr   -0.40   +0.83   -18.789  
   30.0       desr   -0.40   +0.83   -18.756  
   31.0       desr   -0.40   +0.83   -18.715  
   32.0       desr   -0.40   +0.83   -18.666  
   33.0       desr   -0.40   +0.83   -18.613  
   34.0       desr   -0.40   +0.83   -18.554  
   35.0       desr   -0.40   +0.83   -18.494  
   36.0       desr   -0.40   +0.83   -18.432  
   37.0       desr   -0.40   +0.83   -18.370  
   38.0       desr   -0.40   +0.83   -18.308  
   39.0       desr   -0.40   +0.83   -18.251  
   40.0       desr   -0.40   +0.83   -18.199  
   41.0       desr   -0.40   +0.83   -18.152  
   42.0       desr   -0.40   +0.83   -18.108  
   43.0       desr   -0.40   +0.83   -18.066  
   44.0       desr   -0.40   +0.83   -18.026  
   45.0       desr   -0.40   +0.83   -17.987  
   46.0       desr   -0.40   +0.83   -17.950  
