  phase   passband   delta    dm15       mag  
  -15.0       desr   -0.40   +0.83   -16.514  
  -14.0       desr   -0.40   +0.83   -16.705  
  -13.0       desr   -0.40   +0.83   -16.983  
  -12.0       desr   -0.40   +0.83   -17.300  
  -11.0       desr   -0.40   +0.83   -17.633  
  -10.0       desr   -0.40   +0.83   -17.879  
   -9.0       desr   -0.40   +0.83   -18.079  
   -8.0       desr   -0.40   +0.83   -18.289  
   -7.0       desr   -0.40   +0.83   -18.517  
   -6.0       desr   -0.40   +0.83   -18.741  
   -5.0       desr   -0.40   +0.83   -18.923  
   -4.0       desr   -0.40   +0.83   -19.028  
   -3.0       desr   -0.40   +0.83   -19.046  
   -2.0       desr   -0.40   +0.83   -19.026  
   -1.0       desr   -0.40   +0.83   -18.971  
    0.0       desr   -0.40   +0.83   -18.946  
    1.0       desr   -0.40   +0.83   -18.975  
    2.0       desr   -0.40   +0.83   -18.953  
    3.0       desr   -0.40   +0.83   -18.898  
    4.0       desr   -0.40   +0.83   -18.878  
    5.0       desr   -0.40   +0.83   -18.880  
    6.0       desr   -0.40   +0.83   -18.903  
    7.0       desr   -0.40   +0.83   -18.909  
    8.0       desr   -0.40   +0.83   -18.875  
    9.0       desr   -0.40   +0.83   -18.795  
   10.0       desr   -0.40   +0.83   -18.722  
   11.0       desr   -0.40   +0.83   -18.662  
   12.0       desr   -0.40   +0.83   -18.609  
   13.0       desr   -0.40   +0.83   -18.604  
   14.0       desr   -0.40   +0.83   -18.640  
   15.0       desr   -0.40   +0.83   -18.665  
   16.0       desr   -0.40   +0.83   -18.674  
   17.0       desr   -0.40   +0.83   -18.719  
   18.0       desr   -0.40   +0.83   -18.783  
   19.0       desr   -0.40   +0.83   -18.830  
   20.0       desr   -0.40   +0.83   -18.868  
   21.0       desr   -0.40   +0.83   -18.907  
   22.0       desr   -0.40   +0.83   -18.952  
   23.0       desr   -0.40   +0.83   -18.992  
   24.0       desr   -0.40   +0.83   -19.035  
   25.0       desr   -0.40   +0.83   -19.061  
   26.0       desr   -0.40   +0.83   -19.074  
   27.0       desr   -0.40   +0.83   -19.062  
   28.0       desr   -0.40   +0.83   -19.027  
   29.0       desr   -0.40   +0.83   -18.973  
   30.0       desr   -0.40   +0.83   -18.907  
   31.0       desr   -0.40   +0.83   -18.826  
   32.0       desr   -0.40   +0.83   -18.724  
   33.0       desr   -0.40   +0.83   -18.616  
   34.0       desr   -0.40   +0.83   -18.514  
   35.0       desr   -0.40   +0.83   -18.429  
   36.0       desr   -0.40   +0.83   -18.378  
   37.0       desr   -0.40   +0.83   -18.356  
   38.0       desr   -0.40   +0.83   -18.357  
   39.0       desr   -0.40   +0.83   -18.358  
   40.0       desr   -0.40   +0.83   -18.345  
   41.0       desr   -0.40   +0.83   -18.323  
   42.0       desr   -0.40   +0.83   -18.292  
   43.0       desr   -0.40   +0.83   -18.251  
   44.0       desr   -0.40   +0.83   -18.195  
   45.0       desr   -0.40   +0.83   -18.118  
   46.0       desr   -0.40   +0.83   -18.010  
   47.0       desr   -0.40   +0.83   -17.888  
   48.0       desr   -0.40   +0.83   -17.757  
   49.0       desr   -0.40   +0.83   -17.639  
   50.0       desr   -0.40   +0.83   -17.534  
   51.0       desr   -0.40   +0.83   -17.427  
   52.0       desr   -0.40   +0.83   -17.302  
   53.0       desr   -0.40   +0.83   -17.179  
   54.0       desr   -0.40   +0.83   -17.129  
   55.0       desr   -0.40   +0.83   -17.101  
   56.0       desr   -0.40   +0.83   -17.085  
   57.0       desr   -0.40   +0.83   -17.073  
   58.0       desr   -0.40   +0.83   -17.057  
   59.0       desr   -0.40   +0.83   -17.067  
   60.0       desr   -0.40   +0.83   -17.082  
   61.0       desr   -0.40   +0.83   -17.098  
   62.0       desr   -0.40   +0.83   -17.080  
   63.0       desr   -0.40   +0.83   -17.061  
   64.0       desr   -0.40   +0.83   -17.035  
   65.0       desr   -0.40   +0.83   -17.005  
   66.0       desr   -0.40   +0.83   -16.967  
   67.0       desr   -0.40   +0.83   -16.917  
   68.0       desr   -0.40   +0.83   -16.857  
